year,co2,co2_per_capita,co2_growth_abs,coal_co2,coal_co2_per_capita,TAVG,TMAX,TMIN
1990,22757.48,4.281,347.079,8688.659,1.634,18.58,24.24,12.92
1991,23244.807,4.3,487.326,8604.035,1.591,17.3,23.23,11.37
1992,22580.023,4.111,-664.783,8399.007,1.529,17.33,23.21,11.45
1993,22812.9,4.09,232.878,8500.946,1.524,17.51,23.15,11.88
1994,22969.498,4.058,156.596,8548.629,1.51,18.56,24.6,12.53
1995,23458.713,4.085,489.216,8793.981,1.531,18.04,24.14,11.94
1997,24302.584,4.115,143.2,8967.54,1.518,18.33,24.13,12.54
1998,24213.26,4.044,-89.324,8725.984,1.457,17.62,23.76,11.48
1999,24732.389,4.076,519.129,8855.188,1.459,16.02,19.61,12.42
2000,25453.623,4.14,721.234,9203.117,1.497,15.77,19.18,12.36
