year,station,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,FZF0,FZF5,FZF6,FZF7,TAVG,TMAX,TMIN,CDSD,CLDD,FZF1,HDSD,HTDD,FZF8,FZF2,FZF9,FZF3,FZF4,DP01,DP10,DP1X,EMXP,PRCP,DSND,DSNW,EMSD,EMSN,SNOW,DYTS
1848,GHCND:BE000006447,0.0,47.0,16.0,76.0,0.0,-14.6,30.1,-0.3,-0.1,-3.5,-8.5,9.92,14.03,,,,-2.6,3116.9,3116.9,-8.5,-7.4,-14.6,-7.4,,,,,,,,,,,,
1849,GHCND:BE000006447,0.0,58.0,9.0,74.0,1.0,-10.5,32.6,-0.5,-0.9,-3.3,-5.5,9.71,13.93,5.49,,,-2.4,,,-7.5,-6.9,-9.5,-6.9,,,,,,,,,,,,
1855,GHCND:BE000006447,0.0,88.0,33.0,74.0,0.0,-17.4,28.1,-0.4,-1.0,-2.4,-9.7,8.18,,,,,-2.3,3511.8,3511.8,-9.7,-4.4,-9.7,-8.9,-8.9,,,,,,,,,,,
1838,GHCND:ASN00094052,,,,,,,,,,,,,,,,,,,,,,,,,110.0,95.0,11.0,66.0,1071.5,,,,,,
1839,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,102.0,55.0,1.0,29.0,505.3,,,,,,
1840,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,98.0,63.0,3.0,48.0,616.1,,,,,,
1841,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,93.0,56.0,1.0,33.0,456.7,,,,,,
1842,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,121.0,67.0,0.0,19.8,516.4,,,,,,
1843,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,102.0,54.0,2.0,43.2,434.7,,,,,,
1845,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,118.0,63.0,0.0,19.1,478.5,,,,,,
1846,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,114.0,78.0,3.0,31.8,649.9,,,,,,
1847,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,101.0,71.0,4.0,34.3,700.0,,,,,,
1848,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,114.0,62.0,1.0,25.4,501.8,,,,,,
1849,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,109.0,79.0,1.0,36.8,647.0,,,,,,
1850,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,82.0,50.0,3.0,42.7,495.0,,,,,,
1851,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,128.0,84.0,4.0,56.6,786.4,,,,,,
1853,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,125.0,74.0,4.0,69.9,689.5,,,,,,
1854,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,98.0,47.0,0.0,24.4,390.4,,,,,,
1855,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,119.0,66.0,2.0,32.5,588.5,,,,,,
1856,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,114.0,73.0,3.0,37.1,634.2,,,,,,
1857,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,106.0,65.0,1.0,28.7,564.8,,,,,,
1858,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,104.0,49.0,2.0,47.8,547.6,,,,,,
1859,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,94.0,46.0,0.0,20.6,378.0,,,,,,
1860,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,111.0,50.0,2.0,80.0,500.9,,,,,,
1861,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,147.0,69.0,3.0,33.5,601.0,,,,,,
1862,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,113.0,62.0,0.0,22.6,555.8,,,,,,
1863,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,130.0,72.0,0.0,20.6,604.1,,,,,,
1864,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,121.0,52.0,1.0,38.1,504.0,,,,,,
1865,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,104.0,47.0,1.0,44.5,394.5,,,,,,
1866,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,121.0,59.0,0.0,23.9,512.4,,,,,,
1867,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,116.0,55.0,2.0,29.5,488.5,,,,,,
1868,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,104.0,59.0,0.0,24.6,507.7,,,,,,
1869,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,115.0,45.0,0.0,24.9,376.7,,,,,,
1870,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,125.0,61.0,2.0,57.2,605.9,,,,,,
1871,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,125.0,59.0,1.0,26.9,591.7,,,,,,
1872,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,136.0,68.0,2.0,26.2,577.2,,,,,,
1873,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,132.0,61.0,2.0,27.4,535.6,,,,,,
1874,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,122.0,54.0,0.0,19.8,438.0,,,,,,
1875,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,147.0,71.0,5.0,62.7,742.9,,,,,,
1876,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,104.0,42.0,1.0,26.4,342.5,,,,,,
1877,GHCND:ASN00023000,,,,,,,,,,,,,,,,,,,,,,,,,131.0,57.0,4.0,57.4,634.1,,,,,,
1843,GHCND:ASN00067058,,,,,,,,,,,,,,,,,,,,,,,,,60.0,60.0,14.0,101.6,1002.8,,,,,,
1845,GHCND:ASN00067058,,,,,,,,,,,,,,,,,,,,,,,,,66.0,66.0,7.0,86.4,787.0,,,,,,
1845,GHCND:ASN00060026,,,,,,,,,,,,,,,,,,,,,,,,,88.0,49.0,17.0,76.2,1147.2,,,,,,
1845,GHCND:ASN00066095,,,,,,,,,,,,,,,,,,,,,,,,,116.0,72.0,19.0,93.0,1574.2,,,,,,
1846,GHCND:ASN00068014,,,,,,,,,,,,,,,,,,,,,,,,,79.0,55.0,6.0,45.7,666.0,,,,,,
1849,GHCND:CA006158350,,,,,,,,,,,,,,,106.4,,,,,,,,,,,,,,,,,,,,
1850,GHCND:CA006158350,,,,,,,,,,,,,,,165.5,,,,,,,,,,,,,,,,,,,,
1852,GHCND:CA006158350,,,,,,,,,,,,,,,105.6,105.6,,,,,,,,,,,,,,,,,,,
1852,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,46.0,35.0,4.0,31.5,412.5,,,,,,
1853,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,64.0,52.0,7.0,48.0,712.7,,,,,,
1857,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,80.0,55.0,15.0,55.0,904.8,,,,,,
1858,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,57.0,41.0,1.0,32.2,351.8,,,,,,
1859,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,46.0,32.0,2.0,96.7,417.4,,,,,,
1863,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,61.0,40.0,6.0,62.3,554.9,,,,,,
1864,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,84.0,66.0,4.0,57.5,754.7,,,,,,
1865,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,67.0,47.0,5.0,78.0,653.4,,,,,,
1867,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,40.0,29.0,2.0,48.0,326.3,,,,,,
1882,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,41.0,26.0,2.0,29.6,268.0,,,,,,
1883,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,53.0,26.0,0.0,25.0,242.8,,,,,,
1884,GHCND:AGE00135039,0.0,0.0,0.0,165.0,3.0,2.0,37.0,,,,,17.11,21.55,12.67,600.1,600.1,,,,,,,,,72.0,50.0,4.0,41.0,552.9,,,,,,
1885,GHCND:AGE00135039,0.0,0.0,,,,3.4,,,,,,,,14.08,,,,,,,,,,,52.0,31.0,1.0,28.5,266.3,,,,,,
1886,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,47.0,37.0,3.0,42.4,372.9,,,,,,
1887,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,46.0,31.0,4.0,31.4,368.3,,,,,,
1888,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,63.0,45.0,4.0,56.7,461.3,,,,,,
1889,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,65.0,49.0,3.0,29.8,446.9,,,,,,
1890,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,60.0,48.0,3.0,55.0,538.6,,,,,,
1891,GHCND:AGE00135039,0.0,1.0,0.0,200.0,11.0,-0.5,36.4,,-0.5,,,17.74,21.9,13.58,726.7,726.7,,1069.0,1069.0,,,,,,47.0,39.0,1.0,28.8,398.4,,,,,,
1892,GHCND:AGE00135039,0.0,0.0,,,,3.0,,,,,,,,13.32,,,,,,,,,,,53.0,38.0,2.0,61.4,429.6,,,,,,
1893,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,35.0,25.0,0.0,19.8,236.1,,,,,,
1894,GHCND:AGE00135039,0.0,0.0,0.0,200.0,7.0,2.3,37.4,,,,,17.52,21.94,13.1,610.1,610.1,,920.9,920.9,,,,,,60.0,44.0,3.0,31.0,508.3,,,,,,
1895,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,54.0,40.0,1.0,25.6,368.9,,,,,,
1897,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,42.0,21.0,1.0,37.5,192.8,,,,,,
1898,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,56.0,37.0,4.0,50.0,510.4,,,,,,
1899,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,44.0,30.0,2.0,65.0,340.0,,,,,,
1900,GHCND:AGE00135039,0.0,0.0,0.0,192.0,5.0,1.0,35.0,,,,,18.11,22.26,13.97,688.5,688.5,,,,,,,,,65.0,37.0,5.0,61.0,506.5,,,,,,
1901,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,78.0,52.0,3.0,70.0,575.9,,,,,,
1903,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,46.0,31.0,1.0,30.5,305.3,,,,,,
1904,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,55.0,46.0,8.0,54.5,611.9,,,,,,
1905,GHCND:AGE00135039,0.0,0.0,,,,1.0,,,,,,,,13.05,,,,,,,,,,,38.0,29.0,3.0,35.0,332.3,,,,,,
1906,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,59.0,37.0,7.0,67.0,513.8,,,,,,
1907,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,52.0,31.0,5.0,47.0,416.8,,,,,,
1908,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,54.0,39.0,2.0,26.0,318.6,,,,,,
1909,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,59.0,30.0,0.0,16.8,216.1,,,,,,
1910,GHCND:AGE00135039,,,0.0,185.0,5.0,,35.0,,,,,,21.49,,,,,,,,,,,,50.0,30.0,0.0,21.3,262.1,,,,,,
1911,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,56.0,33.0,0.0,25.2,305.1,,,,,,
1912,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,51.0,30.0,2.0,51.2,279.2,,,,,,
1913,GHCND:AGE00135039,,,0.0,168.0,7.0,,36.0,,,,,,21.03,,,,,,,,,,,,43.0,25.0,0.0,18.9,201.7,,,,,,
1914,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,921.5,921.5,,,,,,47.0,23.0,0.0,17.9,220.8,,,,,,
1915,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,67.0,42.0,1.0,42.6,432.2,,,,,,
1923,GHCND:AGE00135039,0.0,0.0,,,,2.0,,,,,,,,14.02,,,,,,,,,,,71.0,38.0,4.0,58.0,448.1,,,,,,
1927,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,62.0,37.0,7.0,55.0,550.9,,,,,,
1928,GHCND:AGE00135039,,,0.0,168.0,8.0,,40.0,,,,,,21.6,,,,,,,,,,,,73.0,37.0,3.0,44.0,435.1,,,,,,
1929,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,66.0,33.0,3.0,57.0,423.0,,,,,,
1930,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,67.0,39.0,4.0,69.0,514.6,,,,,,
1931,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,53.0,33.0,2.0,43.0,414.2,,,,,,
1932,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,52.0,31.0,7.0,49.0,474.6,,,,,,
1933,GHCND:AGE00135039,,,0.0,186.0,6.0,,37.0,,,,,,21.7,,,,,,,,,,,,75.0,48.0,5.0,41.0,529.3,,,,,,
1934,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,73.0,40.0,5.0,47.0,499.7,,,,,,
1935,GHCND:AGE00135039,,,0.0,173.0,10.0,,41.0,,,,,,21.6,,,,,,,,,,,,53.0,32.0,2.0,43.0,382.5,,,,,,
1938,GHCND:AGE00135039,,,,,,,,,,,,,,,,,,,,,,,,,48.0,31.0,2.0,44.0,360.1,,,,,,
1856,GHCND:ASN00086071,0.0,1.0,0.0,112.0,18.0,0.0,36.7,0.0,,,,14.84,19.03,10.65,386.3,386.3,,1600.8,1600.8,,,,,,135.0,88.0,2.0,73.2,756.1,,,,,,
1857,GHCND:ASN00086071,0.0,1.0,0.0,124.0,21.0,-0.3,42.9,,-0.3,,,,,,261.8,261.8,,1559.5,,,,,,,142.0,70.0,4.0,56.6,,,,,,,
1858,GHCND:ASN00056002,,,,,,,,,,,,,,,,,,,,,,,,,99.0,58.0,3.0,47.8,758.0,,,,,,
1859,GHCND:ASN00056002,,,,,,,,,,,,,,,,,,,,,,,,,106.0,60.0,6.0,50.8,834.6,,,,,,
1862,GHCND:ASN00056002,,,,,,,,,,,,,,,,,,,,,,,,,97.0,45.0,1.0,35.6,436.2,,,,,,
1858,GHCND:ASN00061035,,,,,,,,,,,,,,,,,,,,,,,,,116.0,57.0,5.0,135.1,815.4,,,,,,
1859,GHCND:ASN00061035,,,,,,,,,,,,,,,,,,,,,,,,,117.0,59.0,11.0,96.8,874.8,,,,,,
1860,GHCND:ASN00061035,,,,,,,,,,,,,,,,,,,,,,,,,143.0,81.0,9.0,39.1,951.9,,,,,,
1858,GHCND:ASN00063004,,,0.0,181.0,33.0,,37.2,,,,,,21.19,,,,,,,,,,,,,,,,,,,,,,
1860,GHCND:ASN00063004,0.0,74.0,0.0,165.0,9.0,-4.7,37.2,0.0,,,,,,,141.6,141.6,-2.2,,,,,,,,87.0,63.0,5.0,44.5,,,,,,,
1859,GHCND:ASN00058063,,,,,,,,,,,,,,,,,,,,,,,,,85.0,52.0,5.0,97.0,817.1,,,,,,
1861,GHCND:ASN00058063,,,,,,,,,,,,,,,,,,,,,,,,,136.0,90.0,14.0,119.9,1408.5,,,,,,
1861,GHCND:ASN00026020,,,,,,,,,,,,,,,,,,,,,,,,,180.0,127.0,12.0,57.2,1414.9,,,,,,
1862,GHCND:ASN00026020,,,,,,,,,,,,,,,,,,,,,,,,,168.0,96.0,3.0,31.0,834.7,,,,,,
1863,GHCND:ASN00026020,,,,,,,,,,,,,,,,,,,,,,,,,198.0,111.0,5.0,57.4,1118.2,,,,,,
1864,GHCND:ASN00026020,,,,,,,,,,,,,,,,,,,,,,,,,190.0,92.0,1.0,26.2,810.3,,,,,,
1865,GHCND:ASN00026020,,,,,,,,,,,,,,,,,,,,,,,,,180.0,92.0,3.0,44.2,835.3,,,,,,
1866,GHCND:ASN00026020,,,,,,,,,,,,,,,,,,,,,,,,,141.0,93.0,5.0,38.9,839.7,,,,,,
1867,GHCND:ASN00026020,,,,,,,,,,,,,,,,,,,,,,,,,130.0,92.0,1.0,29.2,728.9,,,,,,
1868,GHCND:ASN00026020,,,,,,,,,,,,,,,,,,,,,,,,,108.0,88.0,1.0,25.9,701.7,,,,,,
1869,GHCND:ASN00026020,,,,,,,,,,,,,,,,,,,,,,,,,126.0,86.0,1.0,25.9,624.3,,,,,,
1871,GHCND:ASN00026020,,,,,,,,,,,,,,,,,,,,,,,,,112.0,85.0,4.0,61.0,798.9,,,,,,
1873,GHCND:ASN00026020,,,,,,,,,,,,,,,,,,,,,,,,,103.0,88.0,4.0,55.4,772.3,,,,,,
1875,GHCND:ASN00026020,,,,,,,,,,,,,,,,,,,,,,,,,108.0,98.0,4.0,61.0,,,,,,,
1861,GHCND:ASN00026026,,,,,,,,,,,,,,,,,,,,,,,,,132.0,82.0,4.0,40.6,842.6,,,,,,
1864,GHCND:ASN00026026,,,,,,,,,,,,,,,,,,,,,,,,,155.0,62.0,1.0,38.4,595.0,,,,,,
1865,GHCND:ASN00026026,,,,,,,,,,,,,,,,,,,,,,,,,151.0,58.0,1.0,30.0,523.7,,,,,,
1866,GHCND:ASN00026026,,,,,,,,,,,,,,,,,,,,,,,,,137.0,72.0,0.0,25.1,634.8,,,,,,
1867,GHCND:ASN00026026,,,,,,,,,,,,,,,,,,,,,,,,,157.0,72.0,1.0,39.9,669.8,,,,,,
1869,GHCND:ASN00026026,,,,,,,,,,,,,,,,,,,,,,,,,146.0,65.0,0.0,16.5,507.3,,,,,,
1871,GHCND:ASN00026026,,,,,,,,,,,,,,,,,,,,,,,,,154.0,67.0,2.0,33.8,705.0,,,,,,
1873,GHCND:ASN00026026,,,,,,,,,,,,,,,,,,,,,,,,,110.0,52.0,1.0,39.4,534.1,,,,,,
1861,GHCND:ASN00040214,,,,,,,,,,,,,,,,,,,,,,,,,150.0,94.0,19.0,113.0,1765.9,,,,,,
1862,GHCND:ASN00040214,,,,,,,,,,,,,,,,,,,,,,,,,98.0,49.0,9.0,57.9,718.6,,,,,,
1863,GHCND:ASN00040214,,,,,,,,,,,,,,,,,,,,,,,,,147.0,92.0,21.0,138.4,1751.8,,,,,,
1870,GHCND:ASN00040214,,,,,,,,,,,,,,,,,,,,,,,,,153.0,91.0,21.0,245.1,2059.3,,,,,,
1873,GHCND:ASN00040214,,,,,,,,,,,,,,,,,,,,,,,,,138.0,87.0,19.0,104.1,,,,,,,
1862,GHCND:ASN00061055,,,,,,,,,,,,,,,,,,,,,,,,,89.0,49.0,10.0,71.1,797.0,,,,,,
1863,GHCND:ASN00021014,,,,,,,,,,,,,,,,,,,,,,,,,131.0,75.0,3.0,54.6,827.1,,,,,,
1866,GHCND:ASN00021014,,,,,,,,,,,,,,,,,,,,,,,,,80.0,51.0,3.0,38.6,611.7,,,,,,
1867,GHCND:ASN00021014,,,,,,,,,,,,,,,,,,,,,,,,,97.0,57.0,5.0,53.8,678.4,,,,,,
1868,GHCND:ASN00021014,,,,,,,,,,,,,,,,,,,,,,,,,99.0,52.0,1.0,25.4,551.1,,,,,,
1871,GHCND:ASN00021014,,,,,,,,,,,,,,,,,,,,,,,,,95.0,54.0,2.0,53.3,704.5,,,,,,
1872,GHCND:ASN00021014,,,,,,,,,,,,,,,,,,,,,,,,,91.0,53.0,3.0,61.0,714.2,,,,,,
1876,GHCND:ASN00021014,,,,,,,,,,,,,,,,,,,,,,,,,70.0,37.0,2.0,26.9,431.5,,,,,,
1877,GHCND:ASN00021014,,,,,,,,,,,,,,,,,,,,,,,,,95.0,56.0,7.0,77.0,759.8,,,,,,
1873,GHCND:ASN00021014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645.6,,,,,,
1874,GHCND:ASN00021014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.5,,,,,,
1875,GHCND:ASN00021014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751.7,,,,,,
1864,GHCND:ASN00066062,,,,,,,,,,,,,,,378.1,378.1,,,,,,,,,159.0,104.0,17.0,,,,,,,,
1865,GHCND:ASN00066062,,,0.0,209.0,,,,,,,,,,,,,,,,,,,,,109.0,60.0,9.0,,,,,,,,
1866,GHCND:ASN00066062,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,133.0,71.0,11.0,,,,,,,,
1868,GHCND:ASN00022801,,,,,,,,,,,,,,,,,,,,,,,,,137.0,65.0,2.0,27.2,616.5,,,,,,
1869,GHCND:ASN00022801,,,,,,,,,,,,,,,,,,,,,,,,,140.0,49.0,1.0,43.2,443.4,,,,,,
1870,GHCND:ASN00022801,,,,,,,,,,,,,,,,,,,,,,,,,140.0,62.0,3.0,54.6,639.3,,,,,,
1871,GHCND:ASN00022801,,,,,,,,,,,,,,,,,,,,,,,,,171.0,73.0,3.0,59.2,788.6,,,,,,
1872,GHCND:ASN00022801,,,,,,,,,,,,,,,,,,,,,,,,,168.0,85.0,2.0,40.9,690.4,,,,,,
1874,GHCND:ASN00022801,,,,,,,,,,,,,,,,,,,,,,,,,150.0,62.0,1.0,26.2,509.8,,,,,,
1875,GHCND:ASN00022801,,,,,,,,,,,,,,,,,,,,,,,,,158.0,73.0,2.0,30.2,715.0,,,,,,
1876,GHCND:ASN00022801,,,,,,,,,,,,,,,,,,,,,,,,,125.0,50.0,0.0,24.9,429.8,,,,,,
1877,GHCND:ASN00022801,,,,,,,,,,,,,,,,,,,,,,,,,118.0,46.0,1.0,93.7,489.4,,,,,,
1868,GHCND:ASN00026005,,,,,,,,,,,,,,,,,,,,,,,,,185.0,79.0,2.0,34.3,756.6,,,,,,
1869,GHCND:ASN00026005,,,,,,,,,,,,,,,,,,,,,,,,,185.0,76.0,0.0,22.9,635.9,,,,,,
1870,GHCND:ASN00026005,,,,,,,,,,,,,,,,,,,,,,,,,203.0,91.0,3.0,50.5,870.1,,,,,,
1872,GHCND:ASN00026005,,,,,,,,,,,,,,,,,,,,,,,,,159.0,74.0,1.0,32.0,723.7,,,,,,
1874,GHCND:ASN00026005,,,,,,,,,,,,,,,,,,,,,,,,,169.0,76.0,0.0,24.9,,,,,,,
1875,GHCND:ASN00026005,,,,,,,,,,,,,,,,,,,,,,,,,195.0,87.0,1.0,65.0,862.2,,,,,,
1876,GHCND:ASN00026005,,,,,,,,,,,,,,,,,,,,,,,,,153.0,76.0,1.0,29.7,658.0,,,,,,
1870,GHCND:ASN00056207,,,,,,,,,,,,,,,,,,,,,,,,,152.0,94.0,14.0,66.3,1253.6,,,,,,
1872,GHCND:ASN00014016,,,,,,,,,,,,,,,,,,,,,,,,,113.0,80.0,18.0,95.0,1393.6,,,,,,
1873,GHCND:ASN00014016,,,,,,,,,,,,,,,,,,,,,,,,,100.0,73.0,23.0,148.1,1848.9,,,,,,
1874,GHCND:ASN00014016,,,,,,,,,,,,,,,,,,,,,,,,,87.0,74.0,16.0,88.6,1316.7,,,,,,
1875,GHCND:ASN00014016,,,,,,,,,,,,,,,,,,,,,,,,,88.0,74.0,21.0,76.7,1430.5,,,,,,
1876,GHCND:ASN00014016,,,,,,,,,,,,,,,,,,,,,,,,,83.0,71.0,21.0,100.1,1523.7,,,,,,
1877,GHCND:ASN00014016,,,,,,,,,,,,,,,,,,,,,,,,,88.0,71.0,20.0,114.0,1538.2,,,,,,
1874,GHCND:ASN00015540,,,,,,,,,,,,,,,,,,,,,,,,,35.0,22.0,2.0,45.5,234.2,,,,,,
1877,GHCND:ASN00015540,,,,,,,,,,,,,,,,,,,,,,,,,44.0,32.0,4.0,106.7,518.0,,,,,,
1878,GHCND:AGE00147707,0.0,0.0,0.0,192.0,8.0,5.0,39.8,,,,,18.64,21.37,15.91,880.7,880.7,,,,,,,,,62.0,32.0,3.0,46.2,408.3,,,,,,
1879,GHCND:AGE00147707,0.0,0.0,0.0,174.0,6.0,4.2,41.0,,,,,18.09,21.03,15.15,697.0,697.0,,748.2,748.2,,,,,,66.0,34.0,4.0,69.8,478.8,,,,,,
1878,GHCND:AGE00147713,0.0,67.0,0.0,,,,,,,,,,,,828.8,828.8,,,,,,,,,54.0,25.0,1.0,,,,,,,,
1880,GHCND:AGE00147713,0.0,30.0,0.0,169.0,46.0,,,,,,,,,,617.0,617.0,,,,,,,,,60.0,28.0,0.0,,,,,,,,
1879,GHCND:AGE00147705,,,,,,,,,,,,,,,,,,,,,,,,,67.0,49.0,8.0,45.5,609.4,,,,,,
1880,GHCND:AGE00147705,,,,,,,,,,,,,,,,,,,,,,,,,66.0,48.0,4.0,57.0,605.9,,,,,,
1881,GHCND:AGE00147705,,,,,,,,,,,,,,,,,,,,,,,,,80.0,53.0,7.0,53.4,706.7,,,,,,
1882,GHCND:AGE00147705,,,,,,,,,,,,,,,,,,,,,,,,,69.0,52.0,5.0,72.3,670.2,,,,,,
1883,GHCND:AGE00147705,,,,,,,,,,,,,,,,,,,,,,,,,82.0,63.0,11.0,47.6,847.3,,,,,,
1884,GHCND:AGE00147705,,,,,,,,,,,,,,,,,,,,,,,,,98.0,68.0,4.0,45.0,761.3,,,,,,
1885,GHCND:AGE00147705,,,,,,,,,,,,,,,,,,,,,,,,,103.0,60.0,1.0,32.5,538.2,,,,,,
1886,GHCND:AGE00147705,,,,,,,,,,,,,,,,,,,,,,,,,89.0,63.0,6.0,73.5,868.6,,,,,,
1887,GHCND:AGE00147705,0.0,0.0,0.0,191.0,30.0,2.5,40.1,,,,,18.63,22.79,14.46,953.0,953.0,,,,,,,,,108.0,67.0,11.0,65.3,993.7,,,,,,
1888,GHCND:AGE00147705,0.0,0.0,0.0,218.0,16.0,2.8,39.5,,,,,18.68,22.47,14.88,804.9,804.9,,780.8,780.8,,,,,,104.0,69.0,6.0,64.3,824.5,,,,,,
1890,GHCND:AGE00147705,,,0.0,175.0,12.0,,43.4,,,,,,21.88,,,,,,,,,,,,124.0,83.0,7.0,47.0,971.8,,,,,,
1891,GHCND:AGE00147705,,,,,,,,,,,,,,,888.5,888.5,,,,,,,,,85.0,49.0,5.0,,,,,,,,
1892,GHCND:AGE00147705,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,92.0,57.0,4.0,,,,,,,,
1893,GHCND:AGE00147705,0.0,0.0,,,,,,,,,,,,,975.8,975.8,,,,,,,,,72.0,42.0,5.0,,,,,,,,
1894,GHCND:AGE00147705,0.0,,,,,,,,,,,,,,943.7,943.7,,,,,,,,,96.0,47.0,2.0,,,,,,,,
1895,GHCND:AGE00147705,0.0,0.0,0.0,,,,,,,,,,,,1094.0,1094.0,,,,,,,,,84.0,50.0,3.0,,,,,,,,
1896,GHCND:AGE00147705,0.0,0.0,0.0,182.0,14.0,3.0,39.6,,,,,,,,828.3,828.3,,,,,,,,,104.0,59.0,8.0,54.8,,,,,,,
1897,GHCND:AGE00147705,0.0,0.0,0.0,,,,,,,,,,,,985.9,985.9,,,,,,,,,68.0,36.0,4.0,,,,,,,,
1898,GHCND:AGE00147705,0.0,0.0,0.0,,,,,,,,,,,,933.6,933.6,,,,,,,,,98.0,64.0,10.0,,,,,,,,
