tripduration,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,bikeid,usertype,birth year
1561,301,40.72217444,-73.98368779,533,40.75299641,-73.98721619,23022,Subscriber,1988
594,301,40.72217444,-73.98368779,237,40.73047309,-73.98672378,16183,Subscriber,1958
248,301,40.72217444,-73.98368779,445,40.72740794,-73.98142006,14636,Subscriber,1985
381,301,40.72217444,-73.98368779,229,40.72743423,-73.99379025,22987,Subscriber,1985
602,301,40.72217444,-73.98368779,229,40.72743423,-73.99379025,15416,Subscriber,1953
463,301,40.72217444,-73.98368779,237,40.73047309,-73.98672378,17199,Subscriber,1984
456,301,40.72217444,-73.98368779,237,40.73047309,-73.98672378,17506,Subscriber,1991
542,301,40.72217444,-73.98368779,342,40.71739973,-73.98016555,19783,Customer,
661,301,40.72217444,-73.98368779,382,40.73492695,-73.99200509,21352,Subscriber,1980
668,301,40.72217444,-73.98368779,528,40.74290902,-73.97706058,20989,Subscriber,1986
1416,301,40.72217444,-73.98368779,330,40.71450451,-74.00562789,20071,Subscriber,1989
494,301,40.72217444,-73.98368779,251,40.72317958,-73.99480012,19916,Subscriber,1989
506,301,40.72217444,-73.98368779,251,40.72317958,-73.99480012,20540,Subscriber,1990
916,301,40.72217444,-73.98368779,444,40.7423543,-73.98915076,16716,Subscriber,1987
1355,301,40.72217444,-73.98368779,330,40.71450451,-74.00562789,14713,Customer,
1652,301,40.72217444,-73.98368779,316,40.70955958,-74.00653609,18362,Customer,
1173,301,40.72217444,-73.98368779,330,40.71450451,-74.00562789,15049,Customer,
321,301,40.72217444,-73.98368779,229,40.72743423,-73.99379025,19916,Subscriber,1990
1705,301,40.72217444,-73.98368779,539,40.71534825,-73.96024116,22058,Customer,
1693,301,40.72217444,-73.98368779,539,40.71534825,-73.96024116,20134,Customer,
693,301,40.72217444,-73.98368779,361,40.71605866,-73.99190759,14626,Subscriber,1958
543,301,40.72217444,-73.98368779,293,40.73028666,-73.9907647,18679,Subscriber,1979
1427,301,40.72217444,-73.98368779,2022,40.759107,-73.959223,16417,Subscriber,1989
386,301,40.72217444,-73.98368779,504,40.73221853,-73.98165557,15271,Subscriber,1972
2008,301,40.72217444,-73.98368779,426,40.71754834,-74.01322069,17215,Subscriber,1976
468,301,40.72217444,-73.98368779,297,40.734232,-73.986923,22701,Subscriber,1983
370,301,40.72217444,-73.98368779,301,40.72217444,-73.98368779,23594,Subscriber,1967
603,301,40.72217444,-73.98368779,348,40.72490985,-74.00154702,22511,Subscriber,1982
942,301,40.72217444,-73.98368779,459,40.746745,-74.007756,23394,Subscriber,1984
278,301,40.72217444,-73.98368779,511,40.72938685,-73.97772429,23594,Subscriber,1975
203,301,40.72217444,-73.98368779,428,40.72467721,-73.98783413,22115,Subscriber,1985
1846,301,40.72217444,-73.98368779,279,40.707873,-74.00167,21972,Customer,
2044,301,40.72217444,-73.98368779,508,40.76341379,-73.99667444,20602,Subscriber,1988
990,301,40.72217444,-73.98368779,435,40.74173969,-73.99415556,22774,Subscriber,1956
743,301,40.72217444,-73.98368779,368,40.73038599,-74.00214988,21683,Customer,
728,301,40.72217444,-73.98368779,368,40.73038599,-74.00214988,18419,Customer,
728,301,40.72217444,-73.98368779,2003,40.73381219,-73.98054421,16958,Subscriber,1984
694,301,40.72217444,-73.98368779,250,40.72456089,-73.99565293,22458,Subscriber,1971
2971,301,40.72217444,-73.98368779,301,40.72217444,-73.98368779,21112,Subscriber,1976
